[INFO ] 2025-03-27 17:24:14,563 SaurceDemoE2ESeleniumTest.checkThatTotalPriceIsCorrect() - Starting tests...
[INFO ] 2025-03-27 17:24:15,151 Login.loginWithStandartUser() - Login with UserName=standard_user and Password=secret_sauce 
[INFO ] 2025-03-27 17:24:15,353 Products.savePricesAndAddToCart() - Adding into the cart this product 'Sauce Labs Backpack' with this price '29.99'
[INFO ] 2025-03-27 17:24:15,497 Products.savePricesAndAddToCart() - Adding into the cart this product 'Sauce Labs Bike Light' with this price '9.99'
[INFO ] 2025-03-27 17:24:15,649 Products.savePricesAndAddToCart() - Adding into the cart this product 'Sauce Labs Fleece Jacket' with this price '49.99'
[INFO ] 2025-03-27 17:24:15,808 Products.savePricesAndAddToCart() - Adding into the cart this product 'Sauce Labs Onesie' with this price '7.99'
[INFO ] 2025-03-27 17:24:15,811 Products.savePricesAndAddToCart() - Showing cart data {"Sauce Labs Bike Light":9.99,"Sauce Labs Backpack":29.99,"Sauce Labs Fleece Jacket":49.99,"Sauce Labs Onesie":7.99}
[INFO ] 2025-03-27 17:24:16,019 Cart.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Backpack' with this price '29.99'
[INFO ] 2025-03-27 17:24:16,069 Cart.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Bike Light' with this price '9.99'
[INFO ] 2025-03-27 17:24:16,120 Cart.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Fleece Jacket' with this price '49.99'
[INFO ] 2025-03-27 17:24:16,168 Cart.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Onesie' with this price '7.99'
[INFO ] 2025-03-27 17:24:16,274 Cart.checkOut() - Clicking on button checkout
[INFO ] 2025-03-27 17:24:16,395 CheckOutStepOne.fillDataAndContinue() - Filling the input first-name with data Klajdi
[INFO ] 2025-03-27 17:24:16,513 CheckOutStepOne.fillDataAndContinue() - Filling the input last-name with data Hoxha Sina
[INFO ] 2025-03-27 17:24:16,607 CheckOutStepOne.fillDataAndContinue() - Filling the input postal-code with data 41920
[INFO ] 2025-03-27 17:24:16,735 CheckOutStepOne.fillDataAndContinue() - Clicking on button continue continue
[INFO ] 2025-03-27 17:24:16,809 CheckOutStepTwo.checkSumOfItemsIsEqualAsSubtotalPrice() - Summing the prices of all products 97.96
[INFO ] 2025-03-27 17:24:16,837 CheckOutStepTwo.checkSumOfItemsIsEqualAsSubtotalPrice() - Getting the SUBTOTAL price from the web  97.96
[INFO ] 2025-03-27 17:24:16,865 CheckOutStepTwo.checkTotalPriceIsSubtotalPlusTax() - Getting the TAX price from the web  7.84
[INFO ] 2025-03-27 17:24:16,893 CheckOutStepTwo.checkTotalPriceIsSubtotalPlusTax() - Getting the TOTAL price from the web  105.8
[INFO ] 2025-03-27 17:24:16,894 CheckOutStepTwo.checkTotalPriceIsSubtotalPlusTax() - Getting the TOTAL price from the Calculation  105.8
[INFO ] 2025-03-27 17:24:16,954 CheckOutStepTwo.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Backpack' with this price '29.99'
[INFO ] 2025-03-27 17:24:17,000 CheckOutStepTwo.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Bike Light' with this price '9.99'
[INFO ] 2025-03-27 17:24:17,048 CheckOutStepTwo.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Fleece Jacket' with this price '49.99'
[INFO ] 2025-03-27 17:24:17,099 CheckOutStepTwo.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Onesie' with this price '7.99'
[INFO ] 2025-03-27 17:24:17,543 SaurceDemoE2ESeleniumTest.afterMethod() - Screenshot Absoulte path => C:\Users\klajd\Documents\repositories\saucedemo\captura20250327172417.png
