[INFO ] 2025-03-27 17:19:33,645 SaurceDemoE2ESeleniumTest.checkThatTotalPriceIsCorrect() - Starting tests...
[INFO ] 2025-03-27 17:19:34,246 Login.loginWithStandartUser() - Login with UserName=standard_user and Password=secret_sauce 
[INFO ] 2025-03-27 17:19:34,430 Products.savePricesAndAddToCart() - Adding into the cart this product 'Sauce Labs Backpack' with this price '29.99'
[INFO ] 2025-03-27 17:19:34,574 Products.savePricesAndAddToCart() - Adding into the cart this product 'Sauce Labs Bike Light' with this price '9.99'
[INFO ] 2025-03-27 17:19:34,721 Products.savePricesAndAddToCart() - Adding into the cart this product 'Sauce Labs Fleece Jacket' with this price '49.99'
[INFO ] 2025-03-27 17:19:34,878 Products.savePricesAndAddToCart() - Adding into the cart this product 'Sauce Labs Onesie' with this price '7.99'
[INFO ] 2025-03-27 17:19:34,882 Products.savePricesAndAddToCart() - Showing cart data {"Sauce Labs Bike Light":9.99,"Sauce Labs Backpack":29.99,"Sauce Labs Fleece Jacket":49.99,"Sauce Labs Onesie":7.99}
[INFO ] 2025-03-27 17:19:35,101 Cart.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Backpack' with this price '29.99'
[INFO ] 2025-03-27 17:19:35,151 Cart.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Bike Light' with this price '9.99'
[INFO ] 2025-03-27 17:19:35,200 Cart.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Fleece Jacket' with this price '49.99'
[INFO ] 2025-03-27 17:19:35,253 Cart.checkThatNameAndPricesAreCorrect() - Checking that Name and Price are correct 'Sauce Labs Onesie' with this price '7.99'
[INFO ] 2025-03-27 17:19:35,364 Cart.checkOut() - Clicking on button checkout
[INFO ] 2025-03-27 17:19:35,482 CheckOutStepOne.fillDataAndContinue() - Filling the input first-name with data Klajdi
[INFO ] 2025-03-27 17:19:35,602 CheckOutStepOne.fillDataAndContinue() - Filling the input last-name with data Hoxha Sina
[INFO ] 2025-03-27 17:19:35,699 CheckOutStepOne.fillDataAndContinue() - Filling the input postal-code with data 41920
[INFO ] 2025-03-27 17:19:35,821 CheckOutStepOne.fillDataAndContinue() - Clicking on button continue continue
[INFO ] 2025-03-27 17:19:35,899 CheckOutStepTwo.checkSumOfItemsIsEqualAsSubtotalPrice() - Summing the prices of all products 97.96
[INFO ] 2025-03-27 17:19:35,927 CheckOutStepTwo.checkSumOfItemsIsEqualAsSubtotalPrice() - Getting the SUBTOTAL price from the web  97.96
[INFO ] 2025-03-27 17:19:35,956 CheckOutStepTwo.checkTotalPriceIsSubtotalPlusTax() - Getting the TAX price from the web  7.84
[INFO ] 2025-03-27 17:19:35,985 CheckOutStepTwo.checkTotalPriceIsSubtotalPlusTax() - Getting the TOTAL price from the web  105.8
[INFO ] 2025-03-27 17:19:35,985 CheckOutStepTwo.checkTotalPriceIsSubtotalPlusTax() - Getting the TOTAL price from the Calculation  105.8
[INFO ] 2025-03-27 17:19:36,436 SaurceDemoE2ESeleniumTest.afterMethod() - Screenshot Absoulte path => C:\Users\klajd\Documents\repositories\saucedemo\captura20250327171936.png
